ID,comp,duration,meanfreq,dfrange,modindx,dfslope,enddom,meanpeakf,startdom,sd,maxdom,time.ent,mindom,meandom,sfm,entropy,time.Q75,sp.ent,kurt,skew,time.IQR,time.median,freq.IQR,freq.median,freq.Q25,time.Q25,freq.Q75
f002_m098,rap,0.041300237662153,0.399150771939741,1.32740314269817,2.26226755518172,10.9974550607829,0.625169842500919,0.329454483934581,1.68471975640392,0.313062354568959,1.33929271409349,0.015011461782652,0.038519764768649,0.513226169764102,0.045194585852494,0.014986778359604,0.023907980748779,0.01464158107117,27.5505631144173,1.30140033936756,0.007683663644494,0.019908950665668,0.499557907057014,0.483494301934352,0.300209572181465,0.021003709152191,0.624942182611795
f002_m098,thump,1.14398920287693,0.448973357464847,1.86008148981476,15.8641832719941,0.33481855697169,0.557854561651891,0.031678775198561,0.093835052457844,0.23059156565074,1.86008148981476,0.006149944401398,0,0.101482729670703,0.03116668662529,0.046061332194106,0.772413045992072,0.053017871051753,518.623413714782,7.9561315917235,0.561179682985709,0.43484719034175,0.766866001505938,0.44413884368043,0.119231494569831,0.296817994741161,0.817986282783425
f004_m100,rap,0.033081350733888,0.583822485923846,4.38279772620338,1.28317103126116,19.7259834710497,1.29317030989521,0.247617889959206,1.80138570225791,0.413162712826333,4.45678663503496,0.020782402338703,0.150748611383867,0.766224262990587,0.065400772671622,0.020344651806252,0.028958617428784,0.014268715335659,11.3163466315694,0.799952960228727,0.015772020341235,0.023806627320352,1.07355039652946,0.637543523876791,0.295586142337039,0.019519007422529,1.16844469095964
f004_m100,thump,0.762863867112721,1.66663912171589,7.71794926992054,3.20704024063002,1.71515436984056,2.54934056834668,0.03967603708233,1.0494426964922,0.784625104074842,7.71794926992054,0.005078122366476,0,0.329212227664336,0.070956015472866,0.016892594284542,0.536956080827823,0.016678097463902,184.281018072728,4.10212556827188,0.41130220794429,0.2925750591436,4.33141197797082,1.95391113658421,0.280864409460709,0.163882843726718,4.48397694563657
f005_m079,rap,0.028572048595504,0.639384297282674,4.91402206842201,1.1360397159719,11.3702705282475,0.94041844279354,0.376687355122332,1.47565340023841,0.388754168940869,4.91402206842201,0.011282008477778,0,0.486005815421977,0.071333082452602,0.015652760557374,0.015579202734918,0.016141266766315,151.483379996351,3.98845778236896,0.008577234105304,0.014364923044404,1.28004703950067,0.703452391373212,0.217474878704144,0.011637083863056,1.34093661658302
f005_m079,thump,0.235424857284293,1.09164573615963,8.06744203688879,5.05212750679925,0.203872330171727,0.053022240617526,0.035487326397556,0.321794478413039,0.58825883869175,8.06744203688879,0.001968605502997,0,0.162542521182783,0.059745695340038,0.024019036971839,0.158740002500768,0.027629843783486,777.124629585569,8.30973115921334,0.171804829866394,0.129118299559502,3.74667579649039,0.867576078021621,0.243783914389315,0.146935626975629,3.91346089221978
f006_m131,rap,0.051047785364078,0.783463107718595,2.95121418700782,1.59422974884149,19.1739178652089,1.30790432618954,0.09667854346462,3.26858210238894,0.291428120388304,2.95121418700782,0.01288151724152,0,0.926253615462074,0.071019883431231,0.026669661460124,0.032634028664262,0.023150623628544,380.273481075336,8.95136743870649,0.014218158492654,0.02751039368454,0.503892902458276,0.916679721808099,0.718634492055309,0.02359434629416,1.00100938488261
f006_m131,thump,0.642842102586636,0.874013077206206,6.04895233667268,6.50775834662212,1.66852301975991,1.72973068085467,0.038671417385848,1.73203168060621,0.645655045554869,6.04895233667268,0.004687447172787,0,0.499112209727388,0.069101550918334,0.018668052510513,0.397423237701094,0.021004615458296,916.416659507843,11.1883330121304,0.280274611182036,0.244241292672371,1.71547608890399,0.740687486403894,0.397440379511951,0.175727068335434,1.89201468465042
f007_m024,rap,0.032758183575239,0.540216224329039,2.39439760586821,2.02363829723744,3.34447297018593,0.31674964661175,0.341623121015136,0.779903210221568,0.338112553052365,2.39439760586821,0.009978799676311,0,0.317257085770972,0.071960871891209,0.018910239855537,0.029301486339704,0.019844692269702,106.773532874138,2.94805497007685,0.008007733213863,0.027496698050391,0.924997812781532,0.362831666713878,0.149308947202151,0.025340760308902,1.02646607531105
f007_m024,thump,1.05877670195923,1.38237577270074,4.48332597991553,4.05113799824145,0.509243265003979,0.959066554933958,0,0.455629195106631,0.808278973748933,4.48332597991553,0.006892984102881,0,0.071605947955783,0.048991397704867,0.018645553863733,0.704621377143007,0.017987863965213,1179.71543935673,13.0843789874323,0.60363933808882,0.353590131590969,4.8262355157492,1.06080943331799,0.170385454654316,0.166723927530502,4.81224267376077
