ID,mmass,cop,comp,duration,meanfreq,sd,sp.ent,time.ent,freq.median,freq.IQR,modindx,enddom,dfslope,startdom,dfrange,meandom,mindom,maxdom,kurt,sfm,entropy,meanpeakf,skew,time.Q75,time.IQR,freq.Q25,time.Q25,freq.Q75,time.median
f042_m109,0.0862,0,rap,0.174402494331066,4.21083564628675,5.32781486461316,0.874198433009308,0.918323000844069,2.01205797720612,4.38863575452619,4.38201195605496,0.09474609375,-6.63170239668245,1.23169921875,2.614130859375,0.553376384409546,0.04306640625,2.657197265625,117.084131683699,0.395451211845837,0.802772059762375,0.194392262856792,7.81480305600173,0.124160379141952,0.060060051483204,0.777690983320713,0.064100327658748,5.1663267378469,0.097355846995173
f042_m109,0.0862,0,thump,2.25488352916924,4.6078960384657,6.83257939186679,0.840298081069063,0.868715643603025,0.881970394365555,6.22991558354062,6.79686312299924,0.230992542613636,-0.089549054064997,0.47373046875,5.70042613636364,0.189306952543912,0.04306640625,5.74349254261364,2008.29051144132,0.382997300851585,0.729991429984635,0.129538324311024,35.709278656908,1.63223550682264,1.11845933559506,0.131655561840007,0.513776171227584,6.36157114538063,1.12914809431241
f048_m023,0.0925,0,rap,0.170134920634921,4.32035080505684,5.18147014850938,0.885517252776703,0.915098615754274,2.25899572272831,4.36435584320227,4.22328395514504,0.254091796875,-8.05221504187173,1.6020703125,3.630498046875,0.844480745684295,0.055986328125,3.686484375,36.310364594012,0.404790849997204,0.810250615412781,0.462455208845965,4.83647245678298,0.128593758067801,0.063724090363057,0.953571439619932,0.064869667704744,5.3179272828222,0.099431593193434
f048_m023,0.0925,0,thump,2.12024036281179,4.8470334132359,6.61372797422311,0.888192259596301,0.867341432223775,1.655087892342,5.70304011846286,5.95076356919707,0.521103515625,0.102578944559854,0.2239453125,8.169697265625,0.252929224311775,0.04306640625,8.212763671875,944.362325545593,0.411839453197618,0.770321276912304,0.142509112020177,21.970644588735,1.47298013705069,1.056661312422,0.368241522513599,0.416318824628686,6.07128164097647,0.962455183212017
f049_m139,0.0787,0,rap,0.161214285714286,5.55513107636691,6.33347186810325,0.897682123994875,0.92677298896571,2.73538305203161,7.23394785515071,4.47068452779281,0.219638671875,-6.26480101547205,1.210166015625,4.2549609375,0.742877943109805,0.04306640625,4.29802734375,196.674782808027,0.498335847547835,0.831846129731388,0.263569797305611,10.1038774147543,0.10665342016339,0.05849709139437,0.873101564880499,0.04815632876902,8.10704942003121,0.078065098091629
f049_m139,0.0787,0,thump,1.76695238095238,5.82643267790345,7.20146528078457,0.89683808420194,0.864712217655653,1.97416409021016,9.70616578039581,8.90336936367275,0.236865234375,0.020688404888253,0.236865234375,3.001728515625,0.223687862623329,0.04306640625,3.044794921875,1235.49447152354,0.423604168046545,0.775510177246583,0.129538324311024,25.1270998762097,1.24540713256336,0.960196208514589,0.463983195899871,0.28521092404877,10.1701489762957,0.76438622179397
f056_m110,0.0916,1,rap,0.202666666666667,4.52463804994201,5.10581228435899,0.897768357889395,0.901483865082507,2.58561986655977,5.05262015381804,4.22906966335219,0.055986328125,-6.74942272739001,1.481484375,4.224814453125,0.814196508627693,0.04306640625,4.267880859375,62.070384743513,0.441770135889462,0.809315819025371,0.328423735851378,5.62905481568111,0.142965766945909,0.067452222476376,0.970330669459676,0.075513544469532,6.02295082327772,0.114068886336712
f056_m110,0.0916,1,thump,1.74167800453515,5.6897818951035,6.70938823199292,0.902658582168229,0.864740451482773,2.50490007082005,9.1598415007522,5.2509164582996,0.288544921875,0.067035718730408,0.18087890625,4.259267578125,0.33568837665365,0.04306640625,4.302333984375,774.726243290202,0.461857066490784,0.780563448399687,0.129538324311024,20.6024352176397,1.22406694663999,1.07797823273765,0.413950906685047,0.146088713902342,9.57379240743726,0.729257550449665
f062_m025,0.0778,0,rap,0.202933106575964,3.8259300305361,4.59602112531565,0.873184204974388,0.901203528955832,2.09889601454654,4.03853408608221,4.38719880597258,0.172265625,-5.19748784270809,1.089580078125,3.1180078125,0.668367271407188,0.04306640625,3.16107421875,82.1973018729701,0.348422494429735,0.786851059947145,0.276540585014764,6.63170320159009,0.127916300325934,0.056418762141445,0.796640835343534,0.071497538184489,4.83517492142574,0.102473663178683
f062_m025,0.0778,0,thump,2.86454988662132,3.44829980902044,5.61572971574241,0.843630305157011,0.871982813986779,0.835617434525986,3.39182432765146,7.56148614273615,0.3273046875,-0.035618198916418,0.469423828125,3.1696875,0.195598435307755,0.04306640625,3.21275390625,1047.61800166823,0.253310885808673,0.735654101814476,0.15115630382628,23.5626070304235,1.78634932521296,1.40449059777814,0.194356454352778,0.381858727434821,3.58618078200424,1.06941859404415
f068_m131,0.1279,1,rap,0.165699546485261,5.5087034648082,5.3945003105704,0.920821691349054,0.905751490629784,3.6624487641882,6.74922752731968,3.76094437724327,0.693369140625,-16.6762824562712,3.346259765625,6.266162109375,0.943658375830649,0.04306640625,6.309228515625,111.102872271906,0.537553445022014,0.834101293575243,0.241951817790355,6.8990004035262,0.116121766112614,0.059583128554283,1.32415592554521,0.056538637558331,8.07338345286488,0.08480435680032
f068_m131,0.1279,1,thump,1.86131519274377,4.75021012360862,6.91183538778133,0.84880416135327,0.866056223655299,0.903850443215689,6.24378435406089,19.3536036036036,0.38759765625,0.089854330283748,0.21533203125,4.95263671875,0.090264826724576,0.04306640625,4.995703125,3668.93633792527,0.455810767663491,0.735114128887177,0.129538324311024,50.9376367715687,1.23601430194385,0.929205218462264,0.171235973231667,0.306809083481579,6.41502032729255,0.745109116804298
f071_m060,0.086,0,rap,0.153565759637188,6.07362535111649,5.83065140760542,0.92665814586429,0.919010692877028,4.01153772352776,6.45333697821957,3.61422412957386,0.8441015625,-6.43516510305264,1.929375,7.532314453125,1.87532693432487,0.1550390625,7.687353515625,21.0408671100666,0.55948806686576,0.851558081493908,1.5130890132874,3.60342641329502,0.117102974602134,0.061656492894374,1.70580396834173,0.05544648170776,8.1591409465613,0.088570495325866
f071_m060,0.086,0,thump,2.49434726271461,7.44348674792172,7.68454631043308,0.929787182168072,0.870117967146837,3.668837646295,13.8297299109477,10.3189927798775,0.04306640625,-0.374390259123811,0.95361328125,14.765625,0.629714847664799,0.04306640625,14.80869140625,296.069572289321,0.457881388792953,0.809005594185972,0.253069635826772,13.7024340717248,1.75303000061384,1.1242734745624,0.906656652096631,0.628756526051441,14.7363865630443,1.14755439326203
