,ID,comp,duration,meanfreq,sd,freq.median,freq.Q25,freq.Q75,freq.IQR,time.median,time.Q25,time.Q75,time.IQR,skew,kurt,sp.ent,time.ent,entropy,sfm,meandom,mindom,maxdom,dfrange,modindx,startdom,enddom,dfslope,meanpeakf
1,f002_m098.wav_1,rap,0.109501133786848,3.66389489905961,2.81350966619674,3.31644518272425,1.4343853820598,4.9609634551495,3.5265780730897,0.075282029478458,0.041062925170068,0.088969671201814,0.047906746031746,4.47041009940476,36.975224825935,0.844957196146448,0.922627708827561,0.779580921937957,0.11092894173369,1.75423828125,0.04306640625,4.52197265625,4.47890625,5.96153846153846,3.57451171875,0.12919921875,-31.4637153137296,0.648369832677165
127,f002_m098.wav_1,rap,0.126349206349206,3.57376061183465,3.30931301025406,2.44620367038503,1.2191435768262,5.18531845987765,3.96617488305146,0.079799498746867,0.046549707602339,0.10639933166249,0.05984962406015,6.60274190645485,81.5219581225274,0.863033470393304,0.919445416907509,0.793512168990906,0.16537615859383,0.970260799632353,0.04306640625,4.52197265625,4.47890625,4.30769230769231,2.02412109375,0.12919921875,-14.9974972518844,0.129538324311024
190,f002_m098.wav_1,rap,0.151587301587302,3.12698694885977,2.74424566770231,2.124775044991,1.14817036592681,4.57948410317936,3.43131373725255,0.082109788359788,0.050529100529101,0.107374338624339,0.056845238095238,4.82730212246492,38.9581981566547,0.848301510072414,0.91326025156412,0.774720050490956,0.08828577848522,1.1484375,0.04306640625,5.90009765625,5.85703125,2.70588235294118,5.90009765625,0.04306640625,-38.6380071989529,0.129538324311024
316,f002_m098.wav_1,rap,0.151587301587302,3.57753046610666,3.34868501060212,2.64607078584283,1.01619676064787,5.25914817036593,4.24295140971806,0.088425925925926,0.050529100529101,0.113690476190476,0.063161375661376,4.57715393632244,32.6419324654573,0.867403454955743,0.92752308129435,0.804536725265916,0.146986424656049,0.767365056818182,0.04306640625,2.97158203125,2.928515625,5.35294117647059,1.07666015625,0.04306640625,-6.81847185863874,0.388954078494095
750,f002_m098.wav_1,rap,0.151587301587302,3.12164753338522,2.82687540370954,2.38212357528494,0.930413917216557,4.20995800839832,3.27954409118176,0.088425925925926,0.056845238095238,0.113690476190476,0.056845238095238,4.19418506238283,26.976460815541,0.850965100396796,0.904486245150996,0.769686228412439,0.108062222243562,1.11494140625,0.04306640625,4.09130859375,4.0482421875,6.68085106382979,3.31611328125,0.04306640625,-21.591827552356,0.475425996555118
564,f002_m098.wav_1,rap,0.16,3.72640168936312,3.26410156443293,2.81329923273657,1.25660699062234,5.47030406365445,4.21369707303211,0.0832,0.0512,0.1152,0.064,4.84581499059331,43.8406049009294,0.875563484255094,0.920091249088038,0.805598299884145,0.177012139640401,1.01674167798913,0.04306640625,4.52197265625,4.47890625,5.23076923076923,0.21533203125,0.04306640625,-1.07666015625,0.129538324311024
996,f002_m098.wav_1,rap,0.168412698412698,3.04356745431651,2.9921203940461,2.16198704103672,0.997840172786177,4.09233261339093,3.09449244060475,0.106037624926514,0.074850088183422,0.124750146972369,0.049900058788948,3.66002837608675,20.2922182037729,0.851103323272394,0.906897037424366,0.771863082417766,0.115783203653193,0.845461554276316,0.04306640625,2.97158203125,2.928515625,6.20588235294118,2.36865234375,0.04306640625,-13.8088514667766,0.129538324311024
253,f002_m098.wav_1,rap,0.16843537414966,3.65733768974214,3.30474540088403,2.56518218623482,1.18758434547908,5.35600539811066,4.16842105263158,0.087336860670194,0.056145124716553,0.118528596623835,0.062383471907281,5.87922060924427,65.4093599699798,0.87064613176786,0.91382214148637,0.79561571260893,0.161378914710091,0.85616015625,0.04306640625,4.17744140625,4.134375,4.91666666666667,4.17744140625,0.04306640625,-24.5457643376414,0.129538324311024
440,f002_m098.wav_1,rap,0.16843537414966,3.68467608436761,3.55087112343612,2.43454790823212,1.1638326585695,5.07098515519568,3.90715249662618,0.093575207860922,0.062383471907281,0.118528596623835,0.056145124716553,4.49971483227147,30.8293153776736,0.873311628479433,0.914700985766172,0.798819007451198,0.193633416363904,0.600663034539474,0.04306640625,2.11025390625,2.0671875,4.54166666666667,0.99052734375,0.38759765625,-3.5795906325727,0.129538324311024
935,f002_m098.wav_1,rap,0.16843537414966,3.00260838016404,3.16029786929105,1.87638326585695,0.712550607287449,4.12091767881242,3.40836707152497,0.087336860670194,0.062383471907281,0.124766943814563,0.062383471907281,6.08722226192727,58.0435984343183,0.842013765265548,0.912680056102742,0.768489170521842,0.124486428467187,0.676395909926471,0.04306640625,2.02412109375,1.9810546875,3.78260869565217,0.55986328125,0.47373046875,-0.511370090367528,0.475425996555118
